cbsa_code,cbsa,top5_80,top5_90,top5_00,top5_10,top5_20
16700,"Charleston-North Charleston, SC",Stiles Point | Daniel Island | Charlestowne | South Windenere | Harleston Village,Mazyck-Wraggborough | South Windenere | Charlestowne | Stiles Point | Harleston Village,Wagener Terrace | Westside | Daniel Island | Cannonborough/Elliottbororugh | Harleston Village,Stiles Point | Daniel Island | Charlestowne | South Windenere | Harleston Village,Silver Hill/Magnolia | South Windenere | Charlestowne | Stiles Point | Harleston Village
16740,"Charlotte-Concord-Gastonia, NC-SC",Logan | Laurel Park | Brown Mill | Myers Park | Gibson Village,Third Ward | Cherry | Dilworth | Plaza Midwood | Gibson Village,Chantilly | Rockwell Park-Hemphill Heights | Eastfield | Country Club Heights | First Ward,Oakhurst | Eagle Lake | Cotswold | Villa Heights | North Charlotte,Windsor Park | Brown Mill | Harris-Houston | North Sharon Amity | Gibson Village
16820,"Charlottesville, VA",North Downtown | Woolen Mills | North East | Venable | Charlottesville High,Venable | Kelly Town-Rugby Heights | North East | Woolen Mills | Charlottesville High,Venable | Kelly Town-Rugby Heights | North East | Woolen Mills | Charlottesville High,Ridge St | Woolen Mills | North East | Venable | Charlottesville High,Venable | Woolen Mills | Kelly Town-Rugby Heights | North East | Charlottesville High
16860,"Chattanooga, TN-GA",Concord Heights | Washington Hills | Eastdale | Shepherd | Woodmore,City Center/Downtown | Shepherd | Eastdale | Concord Heights | Woodmore,Martin Luther King | Shepherd | Eastdale | Concord Heights | Woodmore,Martin Luther King | Saint Elmo | Orchard Knob | South Gardens | Woodmore,Highland Park | Clifton Hills | Concord Heights | Shepherd | Woodmore
16940,"Cheyenne, WY",,,,,
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Lake View | Wrightwood Neighbors | University Village - Little Italy | Ranch Triangle | Wrigleyville,Lake View | Bucktown | Roscoe Village | North Center | Wicker Park,Logan Square | West Town | Bronzeville | Humboldt Park | Bridgeport,Edgewater Beach | Heart of Chicago | Near West Side | Woodlawn | Logan Square,Little Village | Gresham | Englewood | Humboldt Park | East Garfield Park
17020,"Chico, CA",The Avenues | Chapmantown,The Avenues | Chapmantown,The Avenues | Chapmantown,The Avenues | Chapmantown,The Avenues | Chapmantown
17060,"Chillicothe, OH",,,,,
17140,"Cincinnati, OH-KY-IN",Mt. Lookout | Central Business District | Mt. Adams | Kennedy Heights | North Avondale,CUF | Oakley | Mt. Auburn | Over-The-Rhine | Central Business District,Over-The-Rhine | West End | Mt. Auburn | Central Business District | North Avondale,CUF | Corryville | Mt. Auburn | Over-The-Rhine | Madisonville,Evanston | Over-The-Rhine | Northside | Madisonville | Avondale
17220,"Clarksburg, WV",,,,,
17260,"Clarksdale, MS",,,,,
17300,"Clarksville, TN-KY",Greenwood,Greenwood,Greenwood,Greenwood,Greenwood
17340,"Clearlake, CA",,,,,
17380,"Cleveland, MS",,,,,
17420,"Cleveland, TN",,,,,
17460,"Cleveland-Elyria, OH",Old Brooklyn | Lee Miles | Corlett | Kamm's Corner | Puritas-Longmead,Buckeye Shaker | University District | Edgewater | North Collinwood | Puritas-Longmead,Tremont | Detroit Shoreway | Central | Kamm's Corner | Puritas-Longmead,Detroit Shoreway | University District | Tremont | Goodrich-Kirkland Park | Central,Kinsman | South Broadway | Tremont | St. Claire-Superior | Woodland Hills
17500,"Clewiston, FL",,,,,
17540,"Clinton, IA",,,,,
17580,"Clovis, NM",,,,,
17620,"Coamo, PR",,,,,
17640,"Coco, PR",,,,,
17660,"Coeur d'Alene, ID",,,,,
17700,"Coffeyville, KS",,,,,
17740,"Coldwater, MI",,,,,
17780,"College Station-Bryan, TX",Southside | Central College Station | South Knoll | Tejas | Eastgate,Southside | Central College Station | South Knoll | Tejas | Eastgate,Southside | Central College Station | South Knoll | Tejas | Eastgate,Southside | Central College Station | South Knoll | Tejas | Eastgate,Southside | Central College Station | South Knoll | Tejas | Eastgate
17820,"Colorado Springs, CO",Central Colorado Springs | Southeast Colorado Springs | Briargate | Powers | Southwest Colorado Springs,Old Colorado City | Central Colorado Springs | Briargate | Powers | Southwest Colorado Springs,Central Colorado Springs | Powers | Southeast Colorado Springs | Briargate | Southwest Colorado Springs,Old Colorado City | Central Colorado Springs | Briargate | Powers | Southwest Colorado Springs,Central Colorado Springs | Old Colorado City | Southeast Colorado Springs | East Colorado Springs | Southwest Colorado Springs
17860,"Columbia, MO",West Ash | East Campus | Park DeVille | Douglas Park | Benton-Stephens,West Ash | East Campus | Park DeVille | Douglas Park | Benton-Stephens,West Ash | East Campus | Park DeVille | Douglas Park | Benton-Stephens,West Ash | East Campus | Park DeVille | Douglas Park | Benton-Stephens,Benton-Stephens | West Ash | East Campus | Park DeVille | Douglas Park
17900,"Columbia, SC",Shandon | Melrose Heights | Saint Andrews | Hyatt Park | Belvedere,Wales Garden | Cottontown - Bellevue | Shandon | Hyatt Park | Belvedere,Central Rosewood | Earlewood | Shandon | Hyatt Park | Belvedere,Earlewood | Hyatt Park | Saint Andrews | Shandon | Belvedere,Shandon | Melrose Heights | Saint Andrews | Hyatt Park | Belvedere
17980,"Columbus, GA-AL",Lindsay Creek Area/Boxwood | Hilton Heights | Garrad Woods | East Wynnton Circle/Carver Heights | Overlook/Wynn's Hill,Lindsay Creek Area/Boxwood | Hilton Heights | Garrad Woods | East Wynnton Circle/Carver Heights | Overlook/Wynn's Hill,East Highlands | East Wynnton Circle/Carver Heights | Garrad Woods | Lindsay Creek Area/Boxwood | Overlook/Wynn's Hill,Lindsay Creek Area/Boxwood | Hilton Heights | Garrad Woods | East Wynnton Circle/Carver Heights | Overlook/Wynn's Hill,East Wynnton Circle/Carver Heights | Lindsay Creek Area/Boxwood | Hilton Heights | Garrad Woods | Overlook/Wynn's Hill
18020,"Columbus, IN",,,,,
18060,"Columbus, MS",,,,,
18100,"Columbus, NE",,,,,
18140,"Columbus, OH",Victorian Village | Brewery District (including Whittier Peninsula) | German Village Commission | Dennison Place | Maize-Morse,Dennison Place | Downtown | Victorian Village | Olde Town East | Italian Village,Downtown | King-Lincoln-Bronzeville | Italian Village | Olde Town East | Merion Village,Italian Village | Sharon Heights | Somerset | Merion Village | Tri-Village,Weinland Park | King-Lincoln-Bronzeville | Vasser Village (Lincoln Park) | Driving Park | Maize-Morse
18180,"Concord, NH",,,,,
18220,"Connersville, IN",,,,,
18260,"Cookeville, TN",,,,,
18300,"Coos Bay, OR",,,,,
18380,"Cordele, GA",,,,,
18420,"Corinth, MS",,,,,
18460,"Cornelia, GA",,,,,
18500,"Corning, NY",,,,,
18580,"Corpus Christi, TX",Flour Bluff | Calallen | Central City | Northwest | South Side,Calallen | Central City | Northwest | Flour Bluff | South Side,Calallen | Central City | Northwest | Flour Bluff | South Side,Calallen | Central City | Northwest | Flour Bluff | South Side,South Side | Flour Bluff | Bay Area | Northwest | Calallen
18620,"Corsicana, TX",,,,,
18660,"Cortland, NY",,,,,
18700,"Corvallis, OR",Nash Avenue | South Corvalis | Central Park | Chintimini,Nash Avenue | South Corvalis | Central Park | Chintimini,Nash Avenue | South Corvalis | Central Park | Chintimini,Central Park | Nash Avenue | South Corvalis | Chintimini,Nash Avenue | South Corvalis | Central Park | Chintimini
18740,"Coshocton, OH",,,,,
18780,"Craig, CO",,,,,
18820,"Crawfordsville, IN",,,,,
18860,"Crescent City, CA",,,,,
18880,"Crestview-Fort Walton Beach-Destin, FL",,,,,
18900,"Crossville, TN",,,,,
18980,"Cullman, AL",,,,,
19000,"Cullowhee, NC",,,,,
19060,"Cumberland, MD-WV",Wills | Haystack-Dingle | Center City | Chapel Hill-Virginia Avenue | Eastside-Willowbrook,Wills | Haystack-Dingle | Center City | Chapel Hill-Virginia Avenue | Eastside-Willowbrook,Wills | Haystack-Dingle | Center City | Chapel Hill-Virginia Avenue | Eastside-Willowbrook,Wills | Haystack-Dingle | Center City | Chapel Hill-Virginia Avenue | Eastside-Willowbrook,Walsh-Humbird | Chapel Hill-Virginia Avenue | Center City | Wills | Eastside-Willowbrook
19100,"Dallas-Fort Worth-Arlington, TX",Northeast Dallas | Wolf Creek | Southeast | Far North | Meadows,M Streets | Northeast Dallas | Bluffview | Southwest Dallas | Lake Highlands,South Boulevard-Park Row Historic | Northeast Dallas | M Streets | Fairway Bend | Irving Heights,Oak Cliff | Northeast Dallas | Bluffview | Eagle Ford | M Streets,Oak Cliff | Cedar Crest | Eagle Ford | East | Winnetka Heights
19140,"Dalton, GA",,,,,
19180,"Danville, IL",Center City,Center City,Center City,Center City,Center City
19220,"Danville, KY",,,,,
19260,"Danville, VA",,,,,
19300,"Daphne-Fairhope-Foley, AL",,,,,
19340,"Davenport-Moline-Rock Island, IA-IL",Stewartville | Old Towne | Park Hill | Downtown/Moline Center | Villa Park,Village of East Davenport | Downtown/Moline Center | Park Hill | Stewartville | Villa Park,Stewartville | Old Towne | Park Hill | Downtown/Moline Center | Villa Park,Stewartville | Old Towne | Park Hill | Downtown/Moline Center | Villa Park,Village of East Davenport | Downtown/Moline Center | Park Hill | Stewartville | Villa Park
19420,"Dayton, TN",,,,,
19430,"Dayton-Kettering, OH",Fairview | Eastmont | Deweese | Pheasant Hill | Shroyer Park,University Park | McPherson | Fairview | Pheasant Hill | Shroyer Park,Midtown | Downtown | Fairview | Pheasant Hill | Shroyer Park,University Park | Pheasant Hill | Deweese | Fairview | Shroyer Park,Fairview | Eastmont | Deweese | Pheasant Hill | Shroyer Park
19460,"Decatur, AL",,,,,
19500,"Decatur, IL",,,,,
19540,"Decatur, IN",,,,,
19580,"Defiance, OH",,,,,
19620,"Del Rio, TX",,,,,
19660,"Deltona-Daytona Beach-Ormond Beach, FL",North Mainland | Ormond-by-the-Sea | Lake Waterford Estates | Coronado Beach | Sugar Mill,North Mainland | Ormond-by-the-Sea | Lake Waterford Estates | Coronado Beach | Sugar Mill,North Mainland | Ormond-by-the-Sea | Lake Waterford Estates | Coronado Beach | Sugar Mill,North Mainland | Ormond-by-the-Sea | Lake Waterford Estates | Coronado Beach | Sugar Mill,North Mainland | Ormond-by-the-Sea | Lake Waterford Estates | Coronado Beach | Sugar Mill
19700,"Deming, NM",,,,,
